"","date","open","high","low","close","log.close","volume"
"4461","2/6/2015",374.87,375.9899,371.01,374.28,2.573196621,3892382
"4462","2/9/2015",371,374.41,367.2,370.56,2.568858538,2724630
"4467","2/17/2015",377.72,379.985,372.67,375.43,2.574528973,3673208
"4468","2/18/2015",373.78,376.74,372.85,373.37,2.57213942,2650610
"4471","2/23/2015",383.44,384.54,378,380.14,2.57994357,2176989
"4472","2/24/2015",378.65,380.48,376.16,378.59,2.578169138,1921850
"4475","2/27/2015",384,385.99,379.79,380.16,2.579966419,2532309
"4478","3/4/2015",385.71,387.9,382.19,382.72,2.582881158,2259141
"4480","3/6/2015",385.52,387,378.88,380.09,2.579886444,2627042
"4482","3/10/2015",377.45,377.77,369.18,369.51,2.567626196,3120972
"4483","3/11/2015",370.61,373.35,366.26,366.37,2.563919904,2495097
"4485","3/13/2015",371.52,373.99,366.68,370.58,2.568881977,2611658
"4489","3/19/2015",373.87,377.11,372.19,373.24,2.571988181,1915671
"4491","3/23/2015",378.07,381.77,374.94,375.11,2.574158642,2239343
"4493","3/25/2015",375.17,380.5,370.285,370.96,2.569327083,3429497
"4494","3/26/2015",369.59,371.4,365.65,367.35,2.565080044,2929962
"4497","3/31/2015",373.24,377.7,371.51,372.1,2.57065967,2506122
"4498","4/1/2015",372.1,373.16,368.34,370.255,2.568500932,2458095
"4501","4/7/2015",376.15,379.31,374.03,374.41,2.57334744,1954902
"4504","4/10/2015",384.31,387.12,381.3151,382.65,2.582801718,2573519
"4505","4/13/2015",383.53,385.28,380.14,382.36,2.582472453,1894453
"4507","4/15/2015",384.65,385.78,381.64,383.45,2.583708742,1933229
"4509","4/17/2015",382.63,383.56,374.4,375.56,2.57467933,3839664
"4511","4/21/2015",391.31,394.6,386.8,391.18,2.592376642,4643524
"4512","4/22/2015",391.91,394.28,388,389.8,2.590841835,3474724
"4513","4/23/2015",390.21,391.88,386.15,389.99,2.591053471,7979985
"4515","4/27/2015",443.86,446.99,437.41,438.56,2.642029018,5430949
"4516","4/28/2015",438.51,439,428.04,429.31,2.632771005,4140483
"4518","4/30/2015",427.11,431.75,419.24,421.78,2.625085982,3647877
"4519","5/1/2015",423.82,425.64,416,422.87,2.626206876,3565824
"4520","5/4/2015",424.8,429.77,422.42,423.04,2.626381433,2270448
"4521","5/5/2015",422.85,427.51,421.02,421.19,2.624478052,2856386
"4522","5/6/2015",421.43,422.7165,414.55,419.1,2.622317661,2552474
"4526","5/12/2015",431.08,433.25,426.71,431.02,2.634497423,1947822
"4527","5/13/2015",429.98,433.528,425.8,426.87,2.630295634,1996328
"4529","5/15/2015",428,430.3962,424.3,426,2.629409599,4240306
"4530","5/18/2015",426,427.27,421.46,425.24,2.628634109,2390229
"4531","5/19/2015",424.87,428.24,420.63,421.71,2.6250139,2465240
"4534","5/22/2015",431.55,432.44,427.61,427.63,2.631068165,2020629
"4535","5/26/2015",426.2,427,422,425.47,2.628868943,2244185
"4537","5/28/2015",429.71,431.35,425.47,426.57,2.629990309,1912436
"4542","6/4/2015",434.4,436.755,429.26,430.78,2.634255532,2510761
"4543","6/5/2015",429.66,430.8,426.5,426.95,2.630377018,1907855
"4544","6/8/2015",425.62,426.8,421.425,423.5,2.626853415,2172525
"4548","6/12/2015",431.25,432.36,428.26,429.92,2.633387649,2054385
"4549","6/15/2015",427.66,428.05,422.64,423.67,2.627027713,2050987
"4551","6/17/2015",428.36,431.35,424.753,427.81,2.631250932,2185869
"4553","6/19/2015",440.26,444.99,433.24,434.92,2.638409379,4495087
"4554","6/22/2015",437,439.24,434.18,436.29,2.639775259,1823572
"4556","6/24/2015",444.97,446.47,440.23,440.84,2.644280994,2620827
"4558","6/26/2015",441.76,443.49,435.06,438.1,2.641573253,2624479
"4559","6/29/2015",434.98,437,429,429.86,2.633327034,2753193
"4560","6/30/2015",434.2,435.57,430.46,434.09,2.637579781,2596873
"4561","7/1/2015",439.35,440,435.58,437.39,2.64086885,1987076
"4565","7/8/2015",434.35,435.99,428.83,429.7,2.633165354,2383130
"4566","7/9/2015",434.9,438.72,434.15,434.39,2.637879819,2271395
"4570","7/15/2015",463.04,464.7,460.2,461.19,2.663879882,2987399
"4573","7/20/2015",492.57,493.2,485.4,488.1,2.688508808,4752491
"4576","7/23/2015",491.66,491.66,475.7,482.18,2.683209193,9374431
"4577","7/24/2015",578.99,580.57,529.35,529.42,2.723800344,21909381
"4579","7/28/2015",536,536.39,523.12,526.03,2.721010513,5273092
"4580","7/29/2015",530.92,532.9655,525.02,529,2.723455672,3752634
"4582","7/31/2015",539.09,542.84,534.5201,536.15,2.72928631,3025598
"4583","8/3/2015",537.45,540.44,529.36,535.03,2.728378134,3014236
"4585","8/5/2015",538.8,539.14,534.119,537.01,2.729982373,2866861
"4586","8/6/2015",539.3,542.74,527.52,529.46,2.723833155,3820453
"4587","8/7/2015",529.16,529.4599,518.21,522.62,2.718186026,3969215
"4588","8/10/2015",528.52,532.2764,523,524,2.719331287,2615926
"4594","8/18/2015",535.04,539.49,533,535.02,2.728370017,2071342
"4595","8/19/2015",533.74,537.25,529,532.92,2.726662019,2324040
"4596","8/20/2015",530.39,533.25,515.77,515.78,2.712464498,4407990
"4597","8/21/2015",507.36,512.33,494.47,494.47,2.694139948,6706466
"4598","8/24/2015",463.58,489.76,451,463.37,2.665927913,10097601
"4599","8/25/2015",487.49,489.44,466.25,466.37,2.668730606,5679329
"4603","8/31/2015",516.44,519.41,509.07,512.89,2.710024232,3002293
"4604","9/1/2015",499.14,510,493.43,496.54,2.69595424,3864514
"4606","9/3/2015",514.5,515.84,502.57,504.72,2.703050514,3149694
"4609","9/9/2015",524,529.95,515.06,516.89,2.71339813,4370657
"4612","9/14/2015",529.44,532.45,518.58,521.38,2.717154368,3130241
"4613","9/15/2015",523.25,527.92,517.2,522.37,2.717978227,2865933
"4618","9/22/2015",539.71,543.55,532.66,538.4,2.731105051,3841748
"4619","9/23/2015",538.3,541.21,534,536.07,2.729221504,2237571
"4621","9/25/2015",542.57,542.8,521.4,524.25,2.719538439,4030998
"4622","9/28/2015",520.02,520.28,494.3337,504.06,2.702482235,5370668
"4623","9/29/2015",506,511.48,490.5,496.07,2.695542964,4457532
"4628","10/6/2015",545.5,551.5,533.33,537.48,2.730362308,4547519
"4630","10/8/2015",536.71,539.386,519.89,533.16,2.726857559,4676440
"4634","10/14/2015",551.34,552.25,539.68,544.83,2.736261013,3582060
"4638","10/20/2015",572,573,555.28,560.88,2.748869954,4346209
"4639","10/21/2015",563.87,565.25,552.52,555.77,2.7448951,3361655
"4641","10/23/2015",617.68,619.45,595.36,599.03,2.777448573,10692667
"4646","10/30/2015",626.01,630.72,625.28,625.9,2.796504952,3874363
"4648","11/3/2015",629.53,629.89,622,625.31,2.796095374,3246910
"4652","11/9/2015",658.65,661.955,647.8477,655.49,2.816566071,4048823
"4655","11/12/2015",673,675.64,664.22,665.6,2.823213313,4284678
"4656","11/13/2015",663.57,667,640.45,642.35,2.807771728,6261076
"4658","11/17/2015",650.65,653.25,641,643.3,2.808413551,4316843
"4660","11/19/2015",664.99,672.86,659,661.27,2.82037882,4705237
"4663","11/24/2015",674.14,675.8,661.2125,671.15,2.826819595,4543417
"4665","11/27/2015",680.8,680.99,672.1,673.26,2.828182813,1966801
"4666","11/30/2015",675.9,681.29,664.6,664.8,2.822691011,5693172
"4668","12/2/2015",681,684.82,674.25,676.01,2.82995312,4273526
"4669","12/3/2015",679.44,682.79,661.48,666.25,2.823637222,5064736
"4671","12/7/2015",674.74,675.46,660.5,669.83,2.825964595,3732814
"4673","12/9/2015",678,679,655.68,664.79,2.822684478,5158172
"4674","12/10/2015",665.59,668.526,659.56,662.32,2.82106787,3455472
"4675","12/11/2015",651.23,657.88,639.62,640.15,2.80628175,5474420
"4677","12/15/2015",665.03,671.5,657.35,658.64,2.818648102,4753415
"4679","12/17/2015",680,682.5,670.65,670.65,2.826495929,3681645
"4680","12/18/2015",668.65,676.84,664.13,664.14,2.822259638,6841304
"4681","12/21/2015",668.5,669.9,658.93,664.51,2.822501521,3250900
"4682","12/22/2015",666.83,668.49,659.26,663.15,2.821611774,2667795
"4683","12/23/2015",666.5,666.597,656.63,663.7,2.821971818,2722922
"4684","12/24/2015",663.35,664.68,660.6,662.79,2.821375947,1092970
"4687","12/30/2015",691.89,695.49,686.375,689.07,2.838263342,3519003
"4688","12/31/2015",686.08,687.75,675.89,675.89,2.829876021,3749560
"4689","1/4/2016",656.29,657.715,627.51,636.99,2.804132614,9314519
"4690","1/5/2016",646.86,646.91,627.65,633.79,2.801945383,5822603
"4692","1/7/2016",621.8,630,605.21,607.94,2.783860719,7074915
"4693","1/8/2016",619.66,624.14,606,607.05,2.783224463,5512915
"4695","1/12/2016",625.25,625.99,612.2415,617.89,2.790911167,4724100
"4696","1/13/2016",620.88,620.88,579.16,581.81,2.764781182,7655239
"4698","1/15/2016",572.24,584.62,565.3,570.18,2.75601198,7784523
"4699","1/19/2016",577.09,584,566.45,574.48,2.759274914,4807165
"4703","1/25/2016",597.99,608.5,594.56,596.53,2.77563229,4396079
"4704","1/26/2016",603.45,604.5,590.38,601.25,2.779055089,3765655
"4705","1/27/2016",601.99,603.39,578.78,583.35,2.765929202,5152853
"4708","2/1/2016",578.15,581.8,570.31,574.81,2.759524315,6355123
"4709","2/2/2016",570,571.56,550.09,552.1,2.742017747,6312045
"4710","2/3/2016",553.5,556,521.9,531.07,2.725151769,10048709
"4712","2/5/2016",529.28,529.45,499.19,502.13,2.700816169,9708929
"4715","2/10/2016",491.76,504.66,486,490.48,2.690621303,6786181
"4717","2/12/2016",510.7,516.75,501.4932,507.08,2.705076482,5384787
"4720","2/18/2016",541.19,541.2,523.73,525,2.720159303,4735008
"4723","2/23/2016",555.55,556.91,545.33,552.94,2.742678008,4050790
"4725","2/25/2016",555.52,559.39,545.2946,555.15,2.744410344,4525463
"4726","2/26/2016",560.12,562.5,553.17,555.23,2.744472924,4877039
"4727","2/29/2016",554,564.81,552.51,552.52,2.742348003,4145396
"4729","3/2/2016",581.75,585,573.7,580.21,2.76358521,4582170
"4730","3/3/2016",577.96,579.866,573.11,577.49,2.761544468,2741292
"4731","3/4/2016",581.07,581.4,571.065,575.14,2.759773573,3416545
"4732","3/7/2016",573.54,573.63,555.55,562.8,2.750354089,4932527
"4734","3/9/2016",559.56,560.35,550.125,559.47,2.747776804,4377283
"4735","3/10/2016",566.74,567,547.9,558.93,2.747357421,3919892
